transcript:AT3G01660.1	Cau.Cau2AG000598	0.96	0.94	66.42	180	L1
transcript:AT3G25690.1	Cau.Cau7BG000859	0.99	1.00	71.91	727	L1
transcript:AT3G55040.1	Cau.Cau7AG001933	0.79	0.78	66.38	154	L1
transcript:AT5G41580.1	Cau.Cau5BG000200	0.57	0.50	51.24	227	L1
transcript:AT5G04430.2	Cau.Cau7BG001779	1.00	1.00	61.31	206	L1
transcript:AT2G07687.1	Cau.Cau7BG001576	0.98	0.84	86.92	226	L1
transcript:AT4G16580.1	Cau.Cau3BG000357	0.98	0.94	60.71	292	L1
transcript:AT1G67440.2	Cau.Cau7AG000648	1.00	1.00	67.68	335	L1
transcript:AT2G20580.1	Cau.Cau2BG000624	1.00	1.00	86.32	770	L1
transcript:AT5G10050.1	Cau.Cau1BG002095	0.97	0.99	71.69	195	L1
transcript:AT1G76360.1	Cau.Cau3AG000080	0.72	0.80	57.71	202	L1
transcript:AT3G49880.1	Cau.Cau1BG000563	0.95	0.96	73.94	332	L1
transcript:AT4G30260.3	Cau.Cau4BG002119	0.99	0.99	82.92	233	L1
transcript:AT3G57410.9	Cau.Cau9BG000682	0.97	0.99	73.67	708	L1
transcript:AT4G16447.1	Cau.Cau2BG002757	0.98	1.00	36.13	56	L1
transcript:AT3G47470.1	Cau.Cau5BG000962	1.00	0.99	86.85	218	L1
transcript:AT2G21280.1	Cau.Cau8BG000718	0.99	0.99	76.07	267	L1
transcript:AT3G03430.1	Cau.Cau6BG000474	1.00	1.00	66.67	56	L1
transcript:AT2G42310.1	Cau.Cau9BG000580	0.81	0.77	83.70	77	L1
transcript:AT1G06730.1	Cau.Cau5AG002828	0.92	0.91	63.05	285	L1
transcript:AT3G13340.1	Cau.Cau4AG001674	1.00	1.00	81.21	363	L1
transcript:AT3G47490.3	Cau.Cau5BG000960	1.00	1.00	58.22	131	L1
transcript:AT3G48187.1	Cau.Cau5BG000450	0.64	0.76	40.28	166	L1
transcript:AT4G13750.1	Cau.Cau9AG000898	0.98	0.99	48.28	1361	L1
transcript:AT1G14410.1	Cau.Cau7BG000313	0.88	0.91	69.71	168	L1
transcript:AT1G31790.1	Cau.Cau7BG001025	0.90	0.86	48.52	180	L1
transcript:AT2G28520.1	Cau.Cau8AG001685	1.00	0.99	82.37	673	L1
transcript:AT3G59980.1	Cau.Cau5AG001993	0.77	0.78	65.73	140	L1
transcript:AT2G03590.2	Cau.Cau7AG000727	1.00	1.00	75.12	305	L1
transcript:AT3G13110.1	Cau.Cau4BG001584	0.97	0.94	61.13	239	L1
transcript:AT2G35658.2	Cau.Cau5BG000696	0.88	0.86	46.24	43	L1
transcript:AT4G36860.1	Cau.Cau1BG000343	1.00	1.00	70.69	398	L1
transcript:AT5G20320.1	Cau.Cau4BG002308	0.95	0.99	56.06	920	L1
transcript:AT2G39770.3	Cau.Cau7AG002322	1.00	1.00	89.47	323	L1
transcript:AT2G36490.1	Cau.Cau6AG000683	0.64	0.70	43.93	372	L1
transcript:AT4G10960.1	Cau.Cau5BG000116	0.98	0.99	82.03	283	L1
transcript:AT5G01420.1	Cau.Cau7AG001605	1.00	1.00	41.94	177	L1
transcript:AT4G03400.1	Cau.Cau2BG001038	0.98	0.97	72.68	423	L1
transcript:AT1G17140.2	Cau.Cau5AG001451	1.00	1.00	50.00	195	L1
transcript:AT5G16740.1	Cau.Cau9BG000884	0.99	0.93	59.62	254	L1
transcript:AT1G09070.1	Cau.Cau9AG001654	0.78	0.65	42.49	116	L1
transcript:AT5G13080.1	Cau.Cau2AG000860	0.97	0.78	64.54	91	L1
